institution,institute_id,experiment_id,source,model_id,forcing,parent_experiment_id,parent_experiment_rip,branch_time,contact,history,comment,initialization_method,physics_version,tracking_id,product,experiment,frequency,creation_date,Conventions,project_id,table_id,title,parent_experiment,modeling_realm,realization,cmor_version,collection,references,acknowledgements,cesm_casename,cesm_repotag,cesm_compset,resolution,forcing_note,processed_by,processing_code_information,gfdl_experiment_name,branch_time_YMDH,CCCma_runid,CCCma_parent_runid,CCCma_data_licence,version_number,notes,mo_runid,nco_openmp_thread_number,CDI,CDO
"CCCma (Canadian Centre for Climate Modelling and Analysis, Victoria, BC, Canada)",CCCma,historicalNat,"CanESM2 2010 atmosphere: CanAM4 (AGCM15i, T63L35) ocean: CanOM4 (OGCM4.0, 256x192L40) and CMOC1.2 sea ice: CanSIM1 (Cavitating Fluid, T63 Gaussian Grid) land: CLASS2.7 and CTEM1",CanESM2,"Sl,Vl",piControl,r1i1p1,153665.0,cccma_info@ec.gc.ca,2011-03-15T23:53:12Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,4c0899b5-1b11-498b-9634-ce039baff0c1,output,natural-only,mon,2011-03-15T23:53:12Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,CanESM2 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,2,2.5.4,nat,http://www.cccma.ec.gc.ca/models,,,,,,,,,,2271:01:01:00,ICD,IGA,"1) GRANT OF LICENCE - The Government of Canada (Environment Canada) is the 
owner of all intellectual property rights (including copyright) that may exist in this Data 
product. You (as ""The Licensee"") are hereby granted a non-exclusive, non-assignable, 
non-transferable unrestricted licence to use this data product for any purpose including 
the right to share these data with others and to make value-added and derivative 
products from it. This licence is not a sale of any or all of the owner's rights.
2) NO WARRANTY - This Data product is provided ""as-is""; it has not been designed or 
prepared to meet the Licensee's particular requirements. Environment Canada makes no 
warranty, either express or implied, including but not limited to, warranties of 
merchantability and fitness for a particular purpose. In no event will Environment Canada 
be liable for any indirect, special, consequential or other damages attributed to the 
Licensee's use of the Data product.",,,,,,
"CCCma (Canadian Centre for Climate Modelling and Analysis, Victoria, BC, Canada)",CCCma,historicalNat,"CanESM2 2010 atmosphere: CanAM4 (AGCM15i, T63L35) ocean: CanOM4 (OGCM4.0, 256x192L40) and CMOC1.2 sea ice: CanSIM1 (Cavitating Fluid, T63 Gaussian Grid) land: CLASS2.7 and CTEM1",CanESM2,"Sl,Vl",piControl,r1i1p1,135415.0,cccma_info@ec.gc.ca,2011-03-16T14:29:45Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,af537a18-036e-4d71-9625-e3748c6791a2,output,natural-only,mon,2011-03-16T14:29:45Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,CanESM2 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,3,2.5.4,nat,http://www.cccma.ec.gc.ca/models,,,,,,,,,,2221:01:01:00,IEQ,IGA,"1) GRANT OF LICENCE - The Government of Canada (Environment Canada) is the 
owner of all intellectual property rights (including copyright) that may exist in this Data 
product. You (as ""The Licensee"") are hereby granted a non-exclusive, non-assignable, 
non-transferable unrestricted licence to use this data product for any purpose including 
the right to share these data with others and to make value-added and derivative 
products from it. This licence is not a sale of any or all of the owner's rights.
2) NO WARRANTY - This Data product is provided ""as-is""; it has not been designed or 
prepared to meet the Licensee's particular requirements. Environment Canada makes no 
warranty, either express or implied, including but not limited to, warranties of 
merchantability and fitness for a particular purpose. In no event will Environment Canada 
be liable for any indirect, special, consequential or other damages attributed to the 
Licensee's use of the Data product.",,,,,,
"CCCma (Canadian Centre for Climate Modelling and Analysis, Victoria, BC, Canada)",CCCma,historicalNat,"CanESM2 2010 atmosphere: CanAM4 (AGCM15i, T63L35) ocean: CanOM4 (OGCM4.0, 256x192L40) and CMOC1.2 sea ice: CanSIM1 (Cavitating Fluid, T63 Gaussian Grid) land: CLASS2.7 and CTEM1",CanESM2,"Sl,Vl",piControl,r1i1p1,117165.0,cccma_info@ec.gc.ca,2011-03-16T12:53:21Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,bbbc58ae-195c-4999-9b07-1166b60f2b3b,output,natural-only,mon,2011-03-16T12:53:21Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,CanESM2 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,4,2.5.4,nat,http://www.cccma.ec.gc.ca/models,,,,,,,,,,2171:01:01:00,IEM,IGA,"1) GRANT OF LICENCE - The Government of Canada (Environment Canada) is the 
owner of all intellectual property rights (including copyright) that may exist in this Data 
product. You (as ""The Licensee"") are hereby granted a non-exclusive, non-assignable, 
non-transferable unrestricted licence to use this data product for any purpose including 
the right to share these data with others and to make value-added and derivative 
products from it. This licence is not a sale of any or all of the owner's rights.
2) NO WARRANTY - This Data product is provided ""as-is""; it has not been designed or 
prepared to meet the Licensee's particular requirements. Environment Canada makes no 
warranty, either express or implied, including but not limited to, warranties of 
merchantability and fitness for a particular purpose. In no event will Environment Canada 
be liable for any indirect, special, consequential or other damages attributed to the 
Licensee's use of the Data product.",,,,,,
"CCCma (Canadian Centre for Climate Modelling and Analysis, Victoria, BC, Canada)",CCCma,historicalNat,"CanESM2 2010 atmosphere: CanAM4 (AGCM15i, T63L35) ocean: CanOM4 (OGCM4.0, 256x192L40) and CMOC1.2 sea ice: CanSIM1 (Cavitating Fluid, T63 Gaussian Grid) land: CLASS2.7 and CTEM1",CanESM2,"Sl,Vl",piControl,r1i1p1,98915.0,cccma_info@ec.gc.ca,2011-03-15T20:06:57Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,b7927ebe-c062-40dc-af75-77728eb4c14b,output,natural-only,mon,2011-03-15T20:06:57Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,CanESM2 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,5,2.5.4,nat,http://www.cccma.ec.gc.ca/models,,,,,,,,,,2121:01:01:00,IBW,IGA,"1) GRANT OF LICENCE - The Government of Canada (Environment Canada) is the 
owner of all intellectual property rights (including copyright) that may exist in this Data 
product. You (as ""The Licensee"") are hereby granted a non-exclusive, non-assignable, 
non-transferable unrestricted licence to use this data product for any purpose including 
the right to share these data with others and to make value-added and derivative 
products from it. This licence is not a sale of any or all of the owner's rights.
2) NO WARRANTY - This Data product is provided ""as-is""; it has not been designed or 
prepared to meet the Licensee's particular requirements. Environment Canada makes no 
warranty, either express or implied, including but not limited to, warranties of 
merchantability and fitness for a particular purpose. In no event will Environment Canada 
be liable for any indirect, special, consequential or other damages attributed to the 
Licensee's use of the Data product.",,,,,,
"Beijing Climate Center(BCC),China Meteorological Administration,China",BCC,historicalNat,"bcc-csm1-1:atmosphere:  BCC_AGCM2.1 (T42L26); land: BCC_AVIM1.0;ocean: MOM4_L40 (tripolar, 1 lon x (1-1/3) lat, L40);sea ice: SIS (tripolar,1 lon x (1-1/3) lat)",bcc-csm1-1,Nat Sl Vl,piControl,r1i1p1,450.0,Dr. Tongwen Wu (twwu@cma.gov.cn),Output from monthly mean data 2011-07-07T08:52:39Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,"Historical simulation but with natural forcing only, The model initial state is from the 450-year of pre-industrial control simulation.",1,1,e67ce13c-01bc-4feb-8308-9331b6ed602a,output,natural-only,mon,2011-07-07T08:52:39Z,CF-1.4,CMIP5,Table Amon (11 April 2011) 1cfdc7322cf2f4a32614826fab42c1ab,bcc-csm1-1 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,1,2.5.6,nat,,,,,,,,,,,,,,,,,,,,
"GCESS,BNU,Beijing,China",BNU,historicalNat,BNU-ESM,BNU-ESM,Nat,piControl,r1i1p1,0.0,Ji Duoying (duoyingji@bnu.edu.cn),2012-08-02T09:10:53Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,dab9d694-f5ca-4544-92d0-5f2e26056702,output,natural-only,mon,2012-08-02T09:10:53Z,CF-1.4,CMIP5,Table Amon (26 July 2011) 976b7fd1d9e1be31dddd28f5dc79b7a1,BNU-ESM model output prepared for CMIP5 natural-only,pre-industrial control,atmos,1,2.7.1,nat,,,,,,,,,,,,,,,,,,,,
"CNRM (Centre National de Recherches Meteorologiques, Meteo-France, Toulouse,France) and CERFACS (Centre Europeen de Recherches et de Formation Avancee en Calcul Scientifique, Toulouse, France)",CNRM-CERFACS,historicalNat,"CNRM-CM5 2010 Atmosphere: ARPEGE-Climat (V5.2.1, TL127L31); Ocean: NEMO (nemo3.3.v10.6.6P, ORCA1degL42); Sea Ice: GELATO (V5.30); River Routing: TRIP (v1); Land: SURFEX (v5.1.c); Coupler : OASIS 3",CNRM-CM5,"Sl, Vl",piControl,r1i1p1,146097.0,"for all but decadal predictions : contact.CMIP5@meteo.fr - METEO-FRANCE, CNRM/GMGEC/ASTER, CNRS URA 1357, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1 /for decadal predictions : contact.CMIP5@cerfacs.fr - CERFACS, Climate Modelling And Global Change, URA CERFACS/CNRS No1875, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1",2011-04-07T07:42:08Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,"Soil layers depth scheme is specific for mrlsl and tsl - see variable-level comments. Atmosphere vertical hybrid coordinate : a_bnds and b_bnds arrays are correct, but a and b values provided are mid-sum of a_bnds and b_bnds, which is a poor approximation compared to the hydrostatic approximation actually used in the model.",1,1,a184bc1e-6a1f-4927-8951-2c76aaee0443,output,natural-only,mon,2011-04-07T07:42:11Z,CF-1.4,CMIP5,Table Amon (31 January 2011) 53b766a395ac41696af40aab76a49ae5,CNRM-CM5 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,1,2.5.3,nat,See http://www.cnrm.meteo.fr/cmip5 - Follow model description link,,,,,,,,,,,,,,,,,,,
"CNRM (Centre National de Recherches Meteorologiques, Meteo-France, Toulouse,France) and CERFACS (Centre Europeen de Recherches et de Formation Avancee en Calcul Scientifique, Toulouse, France)",CNRM-CERFACS,historicalNat,"CNRM-CM5 2010 Atmosphere: ARPEGE-Climat (V5.2.1, TL127L31); Ocean: NEMO (nemo3.3.v10.6.6P, ORCA1degL42); Sea Ice: GELATO (V5.30); River Routing: TRIP (v1); Land: SURFEX (v5.1.c); Coupler : OASIS 3",CNRM-CM5,"Sl, Vl",piControl,r2i1p1,36524.0,"for all but decadal predictions : contact.CMIP5@meteo.fr - METEO-FRANCE, CNRM/GMGEC/ASTER, CNRS URA 1357, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1 /for decadal predictions : contact.CMIP5@cerfacs.fr - CERFACS, Climate Modelling And Global Change, URA CERFACS/CNRS No1875, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1",2011-08-17T10:58:41Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,"Soil layers depth scheme is specific for mrlsl and tsl - see variable-level comments. Atmosphere vertical hybrid coordinate : a_bnds and b_bnds arrays are correct, but a and b values provided are mid-sum of a_bnds and b_bnds, which is a poor approximation compared to the hydrostatic approximation actually used in the model.",1,1,7657f1d0-d5a6-4ae4-a76f-677e627254d1,output,natural-only,mon,2011-08-17T10:58:41Z,CF-1.4,CMIP5,Table Amon (26 July 2011) 976b7fd1d9e1be31dddd28f5dc79b7a1,CNRM-CM5 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,2,2.7.1,nat,See http://www.cnrm.meteo.fr/cmip5 - Follow model description link,,,,,,,,,,,,,,,,,,,
"CNRM (Centre National de Recherches Meteorologiques, Meteo-France, Toulouse,France) and CERFACS (Centre Europeen de Recherches et de Formation Avancee en Calcul Scientifique, Toulouse, France)",CNRM-CERFACS,historicalNat,"CNRM-CM5 2010 Atmosphere: ARPEGE-Climat (V5.2.1, TL127L31); Ocean: NEMO (nemo3.3.v10.6.6P, ORCA1degL42); Sea Ice: GELATO (V5.30); River Routing: TRIP (v1); Land: SURFEX (v5.1.c); Coupler : OASIS 3",CNRM-CM5,"Sl, Vl",piControl,r3i1p1,54787.0,"for all but decadal predictions : contact.CMIP5@meteo.fr - METEO-FRANCE, CNRM/GMGEC/ASTER, CNRS URA 1357, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1 /for decadal predictions : contact.CMIP5@cerfacs.fr - CERFACS, Climate Modelling And Global Change, URA CERFACS/CNRS No1875, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1",2011-08-17T12:06:47Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,"Soil layers depth scheme is specific for mrlsl and tsl - see variable-level comments. Atmosphere vertical hybrid coordinate : a_bnds and b_bnds arrays are correct, but a and b values provided are mid-sum of a_bnds and b_bnds, which is a poor approximation compared to the hydrostatic approximation actually used in the model.",1,1,f4ffbb29-ace0-4d62-9648-90886805a6bb,output,natural-only,mon,2011-08-17T12:06:48Z,CF-1.4,CMIP5,Table Amon (26 July 2011) 976b7fd1d9e1be31dddd28f5dc79b7a1,CNRM-CM5 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,3,2.7.1,nat,See http://www.cnrm.meteo.fr/cmip5 - Follow model description link,,,,,,,,,,,,,,,,,,,
"CNRM (Centre National de Recherches Meteorologiques, Meteo-France, Toulouse,France) and CERFACS (Centre Europeen de Recherches et de Formation Avancee en Calcul Scientifique, Toulouse, France)",CNRM-CERFACS,historicalNat,"CNRM-CM5 2010 Atmosphere: ARPEGE-Climat (V5.2.1, TL127L31); Ocean: NEMO (nemo3.3.v10.6.6P, ORCA1degL42); Sea Ice: GELATO (V5.30); River Routing: TRIP (v1); Land: SURFEX (v5.1.c); Coupler : OASIS 3",CNRM-CM5,"Sl, Vl",piControl,r4i1p1,73049.0,"for all but decadal predictions : contact.CMIP5@meteo.fr - METEO-FRANCE, CNRM/GMGEC/ASTER, CNRS URA 1357, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1 /for decadal predictions : contact.CMIP5@cerfacs.fr - CERFACS, Climate Modelling And Global Change, URA CERFACS/CNRS No1875, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1",2011-08-17T13:33:08Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,"Soil layers depth scheme is specific for mrlsl and tsl - see variable-level comments. Atmosphere vertical hybrid coordinate : a_bnds and b_bnds arrays are correct, but a and b values provided are mid-sum of a_bnds and b_bnds, which is a poor approximation compared to the hydrostatic approximation actually used in the model.",1,1,aedacf63-5562-4f9f-bd39-82ec5b1e9e48,output,natural-only,mon,2011-08-17T13:33:08Z,CF-1.4,CMIP5,Table Amon (26 July 2011) 976b7fd1d9e1be31dddd28f5dc79b7a1,CNRM-CM5 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,4,2.7.1,nat,See http://www.cnrm.meteo.fr/cmip5 - Follow model description link,,,,,,,,,,,,,,,,,,,
"CNRM (Centre National de Recherches Meteorologiques, Meteo-France, Toulouse,France) and CERFACS (Centre Europeen de Recherches et de Formation Avancee en Calcul Scientifique, Toulouse, France)",CNRM-CERFACS,historicalNat,"CNRM-CM5 2010 Atmosphere: ARPEGE-Climat (V5.2.1, TL127L31); Ocean: NEMO (nemo3.3.v10.6.6P, ORCA1degL42); Sea Ice: GELATO (V5.30); River Routing: TRIP (v1); Land: SURFEX (v5.1.c); Coupler : OASIS 3",CNRM-CM5,"Sl, Vl",piControl,r5i1p1,91311.0,"for all but decadal predictions : contact.CMIP5@meteo.fr - METEO-FRANCE, CNRM/GMGEC/ASTER, CNRS URA 1357, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1 /for decadal predictions : contact.CMIP5@cerfacs.fr - CERFACS, Climate Modelling And Global Change, URA CERFACS/CNRS No1875, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1",2011-08-17T15:32:58Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,"Soil layers depth scheme is specific for mrlsl and tsl - see variable-level comments. Atmosphere vertical hybrid coordinate : a_bnds and b_bnds arrays are correct, but a and b values provided are mid-sum of a_bnds and b_bnds, which is a poor approximation compared to the hydrostatic approximation actually used in the model.",1,1,4e44608e-3b79-4d90-a8b7-a2e90c7dd7c1,output,natural-only,mon,2011-08-17T15:32:58Z,CF-1.4,CMIP5,Table Amon (26 July 2011) 976b7fd1d9e1be31dddd28f5dc79b7a1,CNRM-CM5 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,5,2.7.1,nat,See http://www.cnrm.meteo.fr/cmip5 - Follow model description link,,,,,,,,,,,,,,,,,,,
"CNRM (Centre National de Recherches Meteorologiques, Meteo-France, Toulouse,France) and CERFACS (Centre Europeen de Recherches et de Formation Avancee en Calcul Scientifique, Toulouse, France)",CNRM-CERFACS,historicalNat,"CNRM-CM5 2010 Atmosphere: ARPEGE-Climat (V5.2.1, TL127L31); Ocean: NEMO (nemo3.3.v10.6.6P, ORCA1degL42); Sea Ice: GELATO (V5.30); River Routing: TRIP (v1); Land: SURFEX (v5.1.c); Coupler : OASIS 3",CNRM-CM5,"Sl, Vl",piControl,r8i1p1,0.0,"for all but decadal predictions : contact.CMIP5@meteo.fr - METEO-FRANCE, CNRM/GMGEC/ASTER, CNRS URA 1357, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1 /for decadal predictions : contact.CMIP5@cerfacs.fr - CERFACS, Climate Modelling And Global Change, URA CERFACS/CNRS No1875, 42 Av. Coriolis F-31057 TOULOUSE CEDEX 1",2011-08-17T07:15:02Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,"Soil layers depth scheme is specific for mrlsl and tsl - see variable-level comments. Atmosphere vertical hybrid coordinate : a_bnds and b_bnds arrays are correct, but a and b values provided are mid-sum of a_bnds and b_bnds, which is a poor approximation compared to the hydrostatic approximation actually used in the model.",1,1,889058f9-3b38-455a-b0b5-4fa9556a2d71,output,natural-only,mon,2011-08-17T07:15:02Z,CF-1.4,CMIP5,Table Amon (26 July 2011) 976b7fd1d9e1be31dddd28f5dc79b7a1,CNRM-CM5 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,8,2.7.1,nat,See http://www.cnrm.meteo.fr/cmip5 - Follow model description link,,,,,,,,,,,,,,,,,,,
"CSIRO (Commonwealth Scientific and Industrial Research Organisation, Australia), and BOM (Bureau of Meteorology, Australia)",CSIRO-BOM,historicalNat,"ACCESS1.3 2011. Atmosphere: AGCM v1.0 (N96 grid-point, 1.875 degrees EW x approx 1.25 degree NS, 38 levels); ocean: NOAA/GFDL MOM4p1 (nominal 1.0 degree EW x 1.0 degrees NS, tripolar north of 65N, equatorial refinement to 1/3 degree from 10S to 10 N, cosine dependent NS south of 25S, 50 levels); sea ice: CICE4.1 (nominal 1.0 degree EW x 1.0 degrees NS, tripolar north of 65N, equatorial refinement to 1/3 degree from 10S to 10 N, cosine dependent NS south of 25S); land: CABLE1.0 (1.875 degree EW x 1.25 degree NS, 6 levels",ACCESS1.3,"Sl, Vl",piControl,r1i1p1,90945.0,The ACCESS wiki: http://wiki.csiro.au/confluence/display/ACCESS/Home. Contact Tony.Hirst@csiro.au regarding the ACCESS coupled climate model. Contact Peter.Uhe@csiro.au regarding ACCESS coupled climate model CMIP5 datasets.,CMIP5 compliant file produced from raw ACCESS model output using the ACCESS Post-Processor and CMOR2. 2013-09-13T04:47:25Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,877974fc-1e49-48ea-a860-a9a27fac3b2e,output,natural-only,mon,2013-09-13T04:47:25Z,CF-1.4,CMIP5,Table Amon (01 February 2012) 01388cb4507c2f05326b711b09604e7e,ACCESS1.3 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,1,2.8.0,nat,See http://wiki.csiro.au/confluence/display/ACCESS/ACCESS+Publications,,,,,,,,,,,,,,v20130906,,,,,
"CSIRO (Commonwealth Scientific and Industrial Research Organisation, Australia), and BOM (Bureau of Meteorology, Australia)",CSIRO-BOM,historicalNat,"ACCESS1.3 2011. Atmosphere: AGCM v1.0 (N96 grid-point, 1.875 degrees EW x approx 1.25 degree NS, 38 levels); ocean: NOAA/GFDL MOM4p1 (nominal 1.0 degree EW x 1.0 degrees NS, tripolar north of 65N, equatorial refinement to 1/3 degree from 10S to 10 N, cosine dependent NS south of 25S, 50 levels); sea ice: CICE4.1 (nominal 1.0 degree EW x 1.0 degrees NS, tripolar north of 65N, equatorial refinement to 1/3 degree from 10S to 10 N, cosine dependent NS south of 25S); land: CABLE1.0 (1.875 degree EW x 1.25 degree NS, 6 levels",ACCESS1.3,"Sl, Vl",piControl,r1i1p1,90945.0,The ACCESS wiki: http://wiki.csiro.au/confluence/display/ACCESS/Home. Contact Tony.Hirst@csiro.au regarding the ACCESS coupled climate model. Contact Peter.Uhe@csiro.au regarding ACCESS coupled climate model CMIP5 datasets.,CMIP5 compliant file produced from raw ACCESS model output using the ACCESS Post-Processor and CMOR2. 2014-05-30T22:42:47Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,c72da9d6-f56e-466e-910d-22736eadd094,output,natural-only,mon,2014-05-30T22:42:47Z,CF-1.4,CMIP5,Table Amon (01 February 2012) 01388cb4507c2f05326b711b09604e7e,ACCESS1.3 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,1,2.9.1,nat,See http://wiki.csiro.au/confluence/display/ACCESS/ACCESS+Publications,,,,,,,,,,,,,,v20130906,"These experiments are extension of historicalNat from 2006-2020, using rcp85 and were conducted as part of the 'Risks, mechanisms, and attribution of changes in Australian climate extremes' research program for the Australian Centre of Excellence for Climate System Science (ARCCSS)",,,,
"CSIRO (Commonwealth Scientific and Industrial Research Organisation, Australia), and BOM (Bureau of Meteorology, Australia)",CSIRO-BOM,historicalNat,"ACCESS1.3 2011. Atmosphere: AGCM v1.0 (N96 grid-point, 1.875 degrees EW x approx 1.25 degree NS, 38 levels); ocean: NOAA/GFDL MOM4p1 (nominal 1.0 degree EW x 1.0 degrees NS, tripolar north of 65N, equatorial refinement to 1/3 degree from 10S to 10 N, cosine dependent NS south of 25S, 50 levels); sea ice: CICE4.1 (nominal 1.0 degree EW x 1.0 degrees NS, tripolar north of 65N, equatorial refinement to 1/3 degree from 10S to 10 N, cosine dependent NS south of 25S); land: CABLE1.0 (1.875 degree EW x 1.25 degree NS, 6 levels",ACCESS1.3,"Sl, Vl",piControl,r2i1p1,123816.0,The ACCESS wiki: http://wiki.csiro.au/confluence/display/ACCESS/Home. Contact Tony.Hirst@csiro.au regarding the ACCESS coupled climate model. Contact Peter.Uhe@csiro.au regarding ACCESS coupled climate model CMIP5 datasets.,CMIP5 compliant file produced from raw ACCESS model output using the ACCESS Post-Processor and CMOR2. 2013-09-19T03:28:50Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,b368e6c1-53ce-471b-a91f-a431fb41b44e,output,natural-only,mon,2013-09-19T03:28:50Z,CF-1.4,CMIP5,Table Amon (01 February 2012) 01388cb4507c2f05326b711b09604e7e,ACCESS1.3 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,2,2.8.0,nat,See http://wiki.csiro.au/confluence/display/ACCESS/ACCESS+Publications,,,,,,,,,,,,,,v20130912,,,,,
"CSIRO (Commonwealth Scientific and Industrial Research Organisation, Australia), and BOM (Bureau of Meteorology, Australia)",CSIRO-BOM,historicalNat,"ACCESS1.3 2011. Atmosphere: AGCM v1.0 (N96 grid-point, 1.875 degrees EW x approx 1.25 degree NS, 38 levels); ocean: NOAA/GFDL MOM4p1 (nominal 1.0 degree EW x 1.0 degrees NS, tripolar north of 65N, equatorial refinement to 1/3 degree from 10S to 10 N, cosine dependent NS south of 25S, 50 levels); sea ice: CICE4.1 (nominal 1.0 degree EW x 1.0 degrees NS, tripolar north of 65N, equatorial refinement to 1/3 degree from 10S to 10 N, cosine dependent NS south of 25S); land: CABLE1.0 (1.875 degree EW x 1.25 degree NS, 6 levels",ACCESS1.3,"Sl, Vl",piControl,r2i1p1,124182.0,The ACCESS wiki: http://wiki.csiro.au/confluence/display/ACCESS/Home. Contact Tony.Hirst@csiro.au regarding the ACCESS coupled climate model. Contact Peter.Uhe@csiro.au regarding ACCESS coupled climate model CMIP5 datasets.,CMIP5 compliant file produced from raw ACCESS model output using the ACCESS Post-Processor and CMOR2. 2014-05-27T22:08:57Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,a822f21c-6c5c-4d10-b18a-a0a65d6ad838,output,natural-only,mon,2014-05-27T22:08:57Z,CF-1.4,CMIP5,Table Amon (01 February 2012) 01388cb4507c2f05326b711b09604e7e,ACCESS1.3 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,2,2.9.1,nat,See http://wiki.csiro.au/confluence/display/ACCESS/ACCESS+Publications,,,,,,,,,,,,,,v20130912,"These experiments are extension of historicalNat from 2006-2020, using rcp85 and were conducted as part of the 'Risks, mechanisms, and attribution of changes in Australian climate extremes' research program for the Australian Centre of Excellence for Climate System Science (ARCCSS)",,,,
"CSIRO (Commonwealth Scientific and Industrial Research Organisation, Australia), and BOM (Bureau of Meteorology, Australia)",CSIRO-BOM,historicalNat,"ACCESS1.3 2011. Atmosphere: AGCM v1.0 (N96 grid-point, 1.875 degrees EW x approx 1.25 degree NS, 38 levels); ocean: NOAA/GFDL MOM4p1 (nominal 1.0 degree EW x 1.0 degrees NS, tripolar north of 65N, equatorial refinement to 1/3 degree from 10S to 10 N, cosine dependent NS south of 25S, 50 levels); sea ice: CICE4.1 (nominal 1.0 degree EW x 1.0 degrees NS, tripolar north of 65N, equatorial refinement to 1/3 degree from 10S to 10 N, cosine dependent NS south of 25S); land: CABLE1.0 (1.875 degree EW x 1.25 degree NS, 6 levels",ACCESS1.3,"Sl, Vl",piControl,r3i1p1,200883.0,The ACCESS wiki: http://wiki.csiro.au/confluence/display/ACCESS/Home. Contact Tony.Hirst@csiro.au regarding the ACCESS coupled climate model. Contact Peter.Uhe@csiro.au regarding ACCESS coupled climate model CMIP5 datasets.,CMIP5 compliant file produced from raw ACCESS model output using the ACCESS Post-Processor and CMOR2. 2014-04-30T08:58:14Z CMOR rewrote data to comply with CF standards and CMIP5 requirements.,,1,1,b96099de-98a9-42df-9c4d-58f283d5eafd,output,natural-only,mon,2014-04-30T08:58:14Z,CF-1.4,CMIP5,Table Amon (01 February 2012) 01388cb4507c2f05326b711b09604e7e,ACCESS1.3 model output prepared for CMIP5 natural-only,pre-industrial control,atmos,3,2.9.1,nat,See http://wiki.csiro.au/confluence/display/ACCESS/ACCESS+Publications,,,,,,,,,,,,,,v20140501,,,,,
